FPS:,90,,,,,,,,,,,,,
ResolutionHeight:,480,,,,,,,,,,,,,
ResolutionWidth:,640,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ObjectFound,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,,,
0,11046324,8265968,3702818,521,257019274,4887599,3021,745553,3699588,4607053,24927007,319313073,,257019274
0,11297029,7719198,3167192,417,536443090,9815505,1406,2180674,8568387,15766438,12849950,608070565,,536443090
0,24292642,32847072,7391679,573,598577053,10226663,1146,2259781,8515580,16803369,19583932,720827895,,598577053
0,25312230,29141077,8180299,677,598950028,9884197,1458,159561384,8183685,15750138,19265057,874546658,,598950028
0,23692648,31484548,7578743,729,600360664,10411489,1354,718136514,3506638,7930271,10155055,1413457542,,718136514
0,11567627,14366469,3293065,781,257238923,4651632,834,465371053,3500806,8031876,11104130,779309002,,465371053
0,11910249,14185289,3275515,417,257072738,4626894,1198,465654040,3511273,7918033,10315613,778650616,,465654040
0,11154333,14379957,3409617,625,257009357,4648194,2135,465623827,3542677,7848560,10786921,778586602,,465623827
0,12034300,15912569,3196096,625,257280682,4646216,989,467645864,3504503,7862101,11120274,783374462,,467645864
0,11612361,9216032,3225832,677,597899613,10401177,1510,1068109947,8236752,15936003,23285080,1748169231,,1068109947
0,23585572,23785604,7374804,886,600496008,10200832,1458,951863145,3507680,8034792,11044291,1640102343,,951863145
0,12250372,8774928,3118343,729,508920104,10197029,3125,1063029343,8187849,15911890,17399297,1648032935,,1063029343
0,23037082,23218315,7421726,938,599879111,10164115,1250,1047461506,3509659,7960476,10840769,1733720654,,1047461506
0,12122727,8756180,3152610,520,543349228,10180312,1250,1062656304,8192953,15655925,17486163,1681797638,,1062656304
0,23153632,18539394,8090723,677,599807887,10131097,1563,1017109511,3501534,7897409,10815667,1699273864,,1017109511
0,12064711,8773105,3208594,521,257056754,4643819,781,466055421,3549290,7845174,11031791,774449521,,466055421
0,12281305,8440481,3106625,781,526440946,10132816,1250,1062972406,8188213,15680140,17403046,1664881891,,1062972406
0,23139935,23717170,7303247,677,599849928,10133545,1511,1032507377,3507627,7871629,10965651,1719234368,,1032507377
0,12155170,9156452,3105323,2083,257077987,4608145,781,465727297,3558559,7868244,11054080,774519362,,465727297
0,12141839,8664990,3104906,416,516006879,10109067,1562,1062916671,8172850,16576458,17422991,1655353136,,1062916671
0,24446524,22214711,7343295,833,600174603,10188694,1145,1040304108,3547675,7933342,10633443,1727031789,,1040304108
0,11512888,9321800,3216717,730,550072334,10086674,1198,1062641543,8242843,15795648,18101777,1689237462,,1062641543
0,23792420,23576765,7402299,937,599811225,10163385,1926,1008195574,3508512,7958600,10643077,1695285376,,1008195574
0,11539500,9542142,3234893,573,584601079,10166769,1562,1062758358,8206335,15803511,19031738,1725140447,,1062758358
0,23666599,22423283,7439587,1198,599882438,10120159,1563,973544116,3550123,7819290,10378780,1659039612,,973544116
0,11135789,20648820,3276816,677,263124077,5943014,1042,476677619,3499450,7924071,10337430,802740244,,476677619
0,12567160,9831750,3194844,572,257176580,4609186,781,465899813,3542259,7856109,10349355,775215369,,465899813
0,11378057,9362784,3200261,469,256998053,4728550,833,466701188,3496847,8006094,10685520,774744366,,466701188
0,12179593,8503962,3173961,573,518832346,10221502,1198,1063212504,8189097,15760181,17718636,1658036498,,1063212504
0,23514632,22726532,7417193,990,599913799,10150623,1198,1036933170,3504241,8063275,10484602,1722939922,,1036933170
0,11338112,9696398,3133236,729,257072199,4622153,677,466656533,3543716,7842047,11134799,775353745,,466656533
0,14231996,11413886,3203021,416,257463825,4711779,1094,466726208,3545592,7899281,10827484,780188993,,466726208
0,11973936,8791537,3179273,573,257148228,4572991,729,465927895,3505804,7954171,10810351,774057396,,465927895
0,12334421,8633115,3185470,677,561387687,10182287,1562,1063238675,8173785,16546821,17099111,1701037234,,1063238675
0,22700647,25976109,7438700,833,600435842,10193640,1666,997372169,3546216,7865482,10883989,1686628764,,997372169
0,12213599,8848928,3187293,417,595647754,10144582,1250,1064099380,8195398,15656908,16727428,1734958433,,1064099380
