FPS:,90
ResolutionHeight:,480
ResolutionWidth:,640

ObjectFound,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,Frame,MorphOps,DisplayDirection
0,219534,13230709,5011061,364,8360328,5023874,208,782771,4065682,6942963,157,69323539,25215099,781,
0,196513,18975947,6505770,833,16865240,6215922,469,1022619,4064381,8895543,417,88904703,25678959,1145,
0,249274,18341668,8974502,261,8822313,6512749,156,1271008,3686667,5542944,156,78906488,25012543,1094,
0,186722,12423198,4858559,417,10060977,4524647,157,37924238,3554269,4143184,260,103062665,24984678,3698,
0,114532,19450224,9151901,677,8729656,6907442,156,255325868,3605312,4067245,104,333257081,25513227,1146,
0,85626,14795575,6831763,417,8761062,5097520,521,250386473,3640364,3963910,157,319080417,25176399,782,
0,107502,16666590,4755537,625,8464859,6460456,156,264557456,3651406,3900420,156,334534335,25576613,7865,
1,102450,20842171,4862413,417,8328035,7393439,469,1256059,4030891,3805731,209,78728149,27743363,3386,
1,242191,25888858,8269232,313,7945842,5897427,156,1225434,3687760,7001506,261,86864566,26093548,573,
1,110106,19501422,5250544,1927,11005364,11514017,261,1393666,3893232,3732553,156,82149394,25371505,1459,
1,127086,22696259,4842569,417,8016780,6105556,260,1187986,3753178,4115892,156,75323672,24238885,1042,
1,100366,21724735,4944081,312,7845267,6093888,313,1416218,3933858,5735707,156,76988122,24845456,2448,
1,180367,16662319,4887882,782,8338816,7752349,261,1308612,3833388,4093495,156,72124199,24722017,938,
1,157346,16513775,5129083,989,8360378,6128420,208,1140589,3677656,4072557,156,69819948,24358419,729,
1,136877,19740227,4795485,1510,8001571,5772426,365,1267570,3966098,5937115,157,75075022,25033375,886,
1,315369,18734120,4896320,365,8863147,7887560,364,1227622,3761407,4521783,105,75304609,24669047,3542,
1,109324,10482388,4792672,469,9050336,7534534,573,1184861,3777970,3714219,208,66147083,25069886,1302,
1,146044,19815020,3358641,469,8916272,5871646,260,1028296,3569530,3900159,156,71233770,24377897,886,
1,127971,16463202,3848336,469,8238762,6548165,156,1202153,3650104,4637983,157,69880522,24866706,729,
1,191461,16526953,3489060,677,8100583,5678205,209,1145901,4124850,5568777,208,69942554,24699205,3854,
1,251097,15375582,4909496,2239,8508350,7480783,208,1332831,4063235,4805120,208,72358786,25079365,834,
1,145470,14942400,5660028,2917,8380327,6100608,156,1240278,4210893,5602683,364,70911005,24258521,781,
1,223597,31212838,8494964,469,8853771,6698428,313,1387833,4454282,5771228,208,93371165,25799792,2916,
