FPS:,30
ResolutionHeight:,480
ResolutionWidth:,640

ObjectTracked,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,Frame,MorphOps,DisplayDirection
1,125185,5198899,2293664,370,1641208,1095568,30,155450,587765,1664776,19376467,37188834,4932618,490,
1,119164,3573843,1978798,301,1190632,1006562,47,4897491,917830,2131920,10961453,33448291,5167083,543,
1,49517,3780834,1692135,359,1179485,989856,82,5337719,643417,1570720,10619479,33502374,5029904,575,
1,52113,3169768,1964855,280,1118632,917028,51,5927533,948701,2189642,10837259,33519556,4091961,774,
1,55090,2692547,1288294,303,958482,1053956,42,5614307,758672,2178346,10866633,33483898,5948991,819,
1,49434,2733944,1668515,312,1173201,970841,51,4577331,669219,1491227,10981920,33555896,6076163,482,
1,51049,2672704,1276828,308,1219305,1045047,39,6335794,818624,2061736,10860469,33473993,5991267,535,
1,51045,2593515,1356463,392,1085157,885452,69,4589273,729033,1708682,23864007,41856165,4889877,1385,
1,58656,2253122,1881269,337,1449618,999906,75,8134991,720524,2078877,14281964,36827240,4858517,547,
1,58169,2355511,1786953,331,1179750,1235592,70,5006076,588923,1473066,10942474,33478234,7663264,535,
1,53263,2594004,1274730,868,1101584,934002,48,4788906,553461,1452273,22937026,39937577,4138066,448,
1,61673,2704914,1541296,327,1397027,1013288,45,4556648,683606,1700636,12323379,33490477,5065633,791,
1,70583,2819404,2274968,320,1253344,872225,41,3629035,552246,1364290,10694639,33490949,6781524,568,
1,74509,2604453,2036525,358,1384153,992292,41,4249708,719487,1821152,10821137,33474165,5218687,340,
1,82499,2297828,1526627,310,1298830,1005013,52,4444967,710132,1571948,10843638,33506185,5271485,483,
1,65239,3037728,1883043,314,1132569,1056057,66,4037589,807370,1712439,10925635,33494111,4807783,1029,
1,61687,4073002,1607925,337,1348490,872420,72,3722108,572828,1358013,10936990,33482006,6478767,415,
1,70731,2506344,1722804,300,999383,1000498,69,5675711,716003,1692272,10967020,33485223,5519179,372,
1,78394,2852107,2209921,339,1330254,1012455,53,4319447,550927,1357693,10855527,33471873,6532475,517,
1,76979,2129437,1487991,294,1410225,987117,53,4619967,734297,1751203,11051710,33486324,5460410,899,
1,72336,3065532,1863592,274,1615542,913766,78,4571189,653109,1561277,10970054,33477371,4649673,360,
1,59703,3336974,1745488,372,1310320,823673,45,3852379,551241,1365320,10177771,33481461,6482931,348,
1,71720,3490992,2081204,313,912718,889495,60,3503407,646609,1588232,10803869,33487592,5140039,340,
1,71765,1918068,1363626,272,1478987,1100959,75,5164212,853688,1990056,11085429,33484884,5189411,882,
1,71857,3012702,3215623,446,1145972,939572,38,4535800,574588,1362956,10672747,33483570,5553601,504,
1,67642,2845286,2424286,331,1333437,884178,48,5003903,1020938,2423185,10429750,33447343,6753835,539,
1,58301,3437081,2445330,321,1332914,822289,64,4015069,632992,1596450,15936781,35504305,5046694,412,
1,58112,3096755,1479037,313,1058782,960994,75,4881816,763870,1872082,11007780,33480579,4873034,945,
1,76544,2556598,1752862,310,1020165,1031154,57,4705130,718889,1836908,10965727,33490118,5732637,485,
1,109670,2075870,1408366,320,1828455,1048628,48,4889454,983138,2243682,10350441,33456636,5685458,485,
1,63991,3316704,1467720,307,1214606,850137,29,4106148,828679,1907273,11125681,33529616,5038212,470,
1,62151,2797240,1633942,320,1394663,1095397,47,4781711,726452,1972123,11479468,33440964,5445631,1106,
1,57557,2481927,1515611,319,1144540,1017158,71,4449231,571135,1623652,10102857,33483125,5668131,1441,
1,71466,3448393,2154949,356,1131994,926311,57,4205195,662765,1558183,11042017,33551240,4871342,416,
1,71241,2752425,1938198,294,1018070,934177,58,4552180,895503,2141738,11138127,33489999,5562759,404,
1,73890,2072285,1536302,325,1514838,944169,60,4404605,666008,1678146,11010353,33459367,5389179,750,
1,75378,2755018,2209679,277,1116044,982532,57,3815014,561365,1378002,10186565,33477103,6075912,429,
1,70503,2332588,1521747,293,1345436,928983,58,4511971,683734,1581632,10768926,33498136,5385265,439,
1,52026,1637713,1232830,290,935577,870734,41,5281795,550730,1782761,10198403,33528509,3703923,490,
