ObjectFound,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey
0,5371419,1269265,1077508,160,6280414,3857809,361,146673,767090,1215054,10774819,
0,5217222,1220765,970769,160,7236496,473362,420,187730,706777,699273,10990320,
0,5280029,1237276,966191,120,5139728,449738,651,187640,708390,898124,10448810,
0,4994497,1186491,1031002,80,5188770,436253,310,6130674,707088,1253396,10682095,
0,5092301,1231054,977091,460,5422505,612050,241,80624144,766298,732114,10132602,
0,5159045,1263073,980557,170,5163883,461440,471,79817850,717407,735861,10513812,
0,5083734,1230633,1058943,130,5223433,494661,511,81422952,718359,742474,10746017,
1,5383653,742033,976009,80,5166948,754316,230,229478,755898,733768,10757027,
0,5206552,754395,967442,81,5196193,468703,351,223797,761018,723418,10984531,
1,5607720,1223961,967342,100,5281993,623652,270,211144,759375,746681,10838729,
1,5306829,762301,969516,80,5189080,628031,231,231492,769093,776678,10392878,
0,5308843,1225954,972172,220,5412135,498609,380,198380,747373,761208,10711432,
0,5264851,878738,981389,80,5394091,504029,450,201917,802745,758653,10620732,
0,7501950,785925,964607,60,5312850,497927,361,202347,749897,732105,11069349,
1,5382680,1445825,982441,240,5253920,622780,460,205834,785453,734169,10583673,
1,5160847,1682345,2727993,131,5241737,881302,270,218187,763372,725883,10335010,
0,5209618,1224201,973444,131,5196604,662996,271,216444,741211,722436,10361319,
0,5309464,1246944,1087125,100,5246687,522454,371,215091,823053,695306,10538810,
0,5320705,751000,966691,90,5128677,503809,380,235038,727826,725603,10405081,
1,5147312,1222589,992559,100,5216220,637327,360,227634,743786,720363,10617056,
0,7247505,765136,966241,70,5220017,517094,371,222795,730341,730100,10192776,
1,12324466,787417,966741,70,5212523,708240,191,229918,767711,723388,10288483,
1,15848323,1233349,972473,120,5207094,709502,110,233275,729689,735080,10826364,
1,11405705,1224030,967693,230,5258058,856366,170,227895,767931,727205,10749443,
0,11162400,999062,968194,160,5171186,474504,190,258882,761249,870642,10302280,
0,16151999,1222509,969998,70,5221260,465357,121,224890,765556,738136,10810895,
0,11784742,1226505,967203,170,5719307,475856,120,228706,893956,748314,10626913,
0,15001776,1229521,973785,240,5405072,460067,121,75865917,722587,743906,10843247,
0,4925238,1221716,974556,170,5611437,541429,101,78937571,728086,750078,10425038,
1,4959431,1700869,3140412,160,5325614,1168288,250,247542,734749,695026,10926902,
1,5024853,767100,980527,160,5171708,1088058,430,271106,753103,714271,10683548,
1,5019463,1698525,1451204,80,5180584,1122402,221,268831,771438,773081,10154462,
1,4971223,1228159,1090742,130,5174052,1065395,230,266427,776186,716606,10581438,
1,4968719,1224341,973624,90,5157401,1035099,390,267278,970139,726574,10766844,
1,5035663,780384,981619,80,5185834,1037304,361,286193,802997,738526,10853154,
1,4911603,755237,967824,70,5124319,1223962,181,274332,762802,727736,10794987,
1,5010287,797617,988682,100,5183821,1053474,260,283739,757853,787568,10819000,
1,5005988,733978,967893,80,5261476,1067029,180,279531,769143,1278362,10779086,
1,4796418,2234473,1182654,180,5181326,1018408,370,260636,779673,730020,10537376,
1,4783895,1219673,975768,100,5231280,1263905,310,278269,780394,714371,10633325,
1,4904449,771608,981769,120,5184292,1184358,141,291753,810792,738065,10571840,
1,5027178,745349,1163518,71,5241048,1188445,280,280884,784682,729519,10597848,
1,4961826,744528,988141,110,5195523,1091033,271,290021,774824,796093,10821305,
1,5019543,757642,966330,170,5205692,1100782,280,268901,760296,730721,10600243,
1,4891675,758453,967142,100,5324203,1177735,211,270965,793107,726624,10600784,
1,14857397,758343,967443,171,5236047,1051519,290,269653,769063,764094,10845099,
1,15268243,1225333,966010,230,5209338,1131048,340,260465,766378,719140,10654345,
1,10933514,749677,964537,351,5189822,1067870,181,264222,754406,969286,10593280,
1,15670383,755177,1090973,230,5192947,1043585,371,269311,765135,721144,10605543,
1,11424039,748074,968235,80,5190923,1055667,270,267970,766829,725371,10564538,
1,11816410,789922,965840,160,5240205,1053734,371,267459,760478,738666,10637092,
1,15400659,755879,1040148,80,5307270,1030962,210,269813,744648,755297,10585005,
1,11444397,1222939,972262,231,5270081,1139082,471,261146,730532,977271,10652602,
1,10817397,753143,966832,191,5240235,1093959,400,279862,768843,878588,10712552,
1,15260939,767179,966481,81,5308913,1075464,310,285031,756370,724710,10836102,
1,11319635,748074,967713,160,5388742,1145014,411,270574,733016,741482,10775711,
1,11064939,1807509,996968,161,5261644,1053704,341,275794,742464,739388,10747749,
1,14578987,753966,1059114,70,5190623,1098537,461,273590,726895,709051,10313849,
1,11648218,1230473,973273,190,5376209,1336230,260,255877,728357,782779,10588843,
1,10697705,1246423,990115,250,5439506,1097896,271,277197,1054174,746370,10527900,
1,14784461,1274886,971140,231,5783968,1169179,310,258782,787176,773481,10665314,
1,10192074,1221356,968595,101,5181956,1354334,271,275304,800571,734077,10569817,
1,15144372,887764,968174,151,5170044,1023477,170,271586,766288,722276,10744141,
1,10957249,1254508,983463,170,5232743,1072809,360,282827,763293,1625258,10207922,
1,10637123,1333895,965990,180,5283245,1127121,311,258452,833553,747422,10487583,
1,15548976,747383,968425,181,5564520,1029939,320,250878,726614,720352,10621985,
1,10846401,924343,1179137,160,5915845,1077288,411,255816,728377,753955,10522207,
1,10236185,765597,967664,170,6563621,1077398,411,263280,734248,755849,10518330,
1,10251094,826070,1357339,240,5393500,1075775,271,258080,740430,736422,10212432,
1,11331155,1730915,972382,160,5210610,1075875,171,261187,731864,819757,10733543,
1,14834264,751291,967082,170,5143575,1049355,151,263380,728036,793538,10611975,
1,11218277,753244,967533,171,5234925,1105039,370,269823,818345,785694,10919699,
1,11080930,749747,967854,171,5235787,1103627,311,260736,736743,716324,10812089,
1,15640225,1232867,974967,160,5171158,1084902,361,255426,728688,722616,10710127,
1,10854017,1154811,968665,150,5181996,1029739,261,263190,718579,773131,10731188,
1,11150940,759686,969416,170,5163572,1098778,230,262840,775054,730211,10941781,
1,15477761,746812,970399,160,5180526,1120728,261,266877,757762,761369,10444814,
1,11462281,757412,966170,220,5264620,1223139,461,259744,743255,753534,10969101,
1,11011581,1251522,1469359,210,5198297,1119617,521,240188,736692,1105360,11005219,
1,10175131,1218591,966050,70,5167580,1192733,380,250497,772670,721174,11085197,
1,14062665,1564937,972883,170,5359688,1229501,291,254784,779612,774504,10735905,
1,10522880,1226525,968595,171,5376900,1219693,191,274903,781426,738987,10649787,
1,10672748,1221957,972051,161,5209919,1196049,381,270935,787116,735100,10856512,
1,10848365,1221506,972162,100,5195624,1176462,420,276205,759305,740620,10717602,
1,14378546,1223921,980337,230,5228022,1150614,371,262048,755067,776206,10821227,
1,10776341,1222058,1039136,251,5232450,1115097,351,259593,758884,727826,10659085,
1,10893459,762421,965419,231,5207516,1154792,281,251208,736833,718960,10619770,
1,15554417,761178,966161,161,5141861,1153420,271,264983,765316,1639725,10812940,
1,10517239,1680732,1443630,280,5235266,1553274,360,258302,748685,1574535,10626383,
1,9016452,1221466,968134,70,5183160,1146626,491,283578,765897,722947,10702173,
1,14766659,1232276,1471562,100,5274298,1100060,441,283879,789481,751350,10412463,
1,10937122,1220114,1084571,231,5206352,1089250,261,267639,759395,728488,10907527,
1,14961390,755388,966832,80,5157551,1081124,190,264282,752853,1005013,10686103,
1,10909501,1676745,1461423,150,5184040,1147418,280,258712,738737,811472,10883852,
1,9633532,1221136,971931,80,5200290,1185539,351,264182,762030,757742,10164112,
1,11449285,1654633,977952,160,5187146,1107023,361,285672,740991,725462,10141689,
1,15310652,1296526,968354,270,5244693,1124425,581,265454,741733,748074,10641911,
1,10710118,1220324,972452,220,5214517,1091664,371,268861,748975,733647,10935339,
1,11054570,1216146,974246,261,5182006,1087016,450,267569,722166,737465,10594212,
1,14783610,1222328,967393,240,5176376,1101302,361,260716,755829,797486,10644014,
1,11404002,1680151,1470590,70,5172148,1066457,370,237212,737054,763603,11368857,
1,8938647,753704,967493,260,5145709,1098638,361,254624,850055,742104,10671436,
1,15649143,788589,967323,171,5842937,1075094,301,232784,747233,748625,10830783,
1,10627155,1639075,974536,70,5266484,1108435,400,263181,765636,727646,11031438,
1,10203934,2038178,1006566,191,5200472,1211237,260,272929,763183,745619,10626802,
1,14386700,1224312,966632,71,5230998,1058663,391,263240,728237,712417,10636300,
1,11202767,1222859,975287,170,5196112,1042803,251,274682,747553,718759,10522319,
1,10769358,749717,967112,160,5157671,1101232,260,272558,733787,778110,10561923,
1,15679899,747623,967413,251,5235266,1123253,311,259463,728037,728818,10566751,
1,11615957,747834,966350,270,5139497,1070375,250,255456,726444,733446,10605003,
1,11993349,789371,967042,90,5155737,1107844,361,273630,754285,797636,11294838,
1,14541568,753365,968144,260,5261625,1150795,321,263321,733066,840105,10535322,
1,11379596,757582,966672,230,5160136,1143591,360,270083,754807,756840,10503955,
1,11844221,1250831,1486039,100,5278016,1120758,250,256729,731603,730822,10972028,
1,10054586,747683,967263,381,5380157,1084921,301,261007,723308,717356,10774397,
1,15424505,1344114,982570,170,5197956,1050167,240,253643,738756,722898,10915302,
1,15176791,756359,966231,260,5438024,2274650,261,579309,781186,716025,10593530,
1,9604639,752924,966331,150,5149857,1058042,160,254705,726985,726634,10958911,
1,10970264,1676213,1477954,190,5167850,1012016,240,252691,724240,746100,10818652,
1,10448961,2113429,1901343,70,5113809,1521856,201,267088,729360,2102118,10403156,
1,7310021,1222308,971590,220,5312221,1095231,481,264523,723408,742404,10464810,
1,11044192,1220554,968104,240,5107137,1091995,260,272157,730121,732905,10479769,
1,15448228,1221867,967443,271,5161599,1098297,261,258742,818786,718048,10838469,
1,11063997,1232657,971640,70,5195173,1126810,170,253783,762762,735039,10160583,
1,15387265,745820,969657,170,5196323,1162767,451,282867,777098,735952,11344662,
1,11057174,1219312,971891,70,5260824,1144693,250,260896,770957,734519,10610151,
1,10677517,1253446,971811,171,5438375,1101663,381,260005,769584,722847,10615782,
1,10989850,1218250,971891,231,5223394,1114436,461,264694,743926,732716,10643795,
1,14775905,820228,965419,240,5204148,1092035,280,253172,716395,745310,10705139,
1,11589997,767741,969146,220,5153203,1136158,261,275374,757591,723027,10687175,
1,15556360,759375,965028,160,5180403,1088108,271,266557,730812,725191,10632465,
1,11597932,749487,969617,151,5085908,1087667,380,274402,752082,735911,10580837,
1,11638868,741061,968685,100,5150820,1052672,471,262229,749757,738115,10127272,
1,12394178,1659934,980768,160,5190252,1057781,491,269833,718939,706537,10638253,
1,14406195,754476,967513,170,5165185,1134345,291,273019,751571,800482,10396333,
1,11740658,1228640,971931,80,5223384,1079612,180,253753,753875,1000284,10130507,
1,15503754,754826,967212,70,5129859,1185178,260,272758,760376,726123,10902355,
1,11387630,751671,967833,231,5113639,1174219,260,266867,747403,757071,10852744,
1,10829190,734489,985647,80,5187617,1118554,631,260004,757111,729289,10628155,
1,15711068,742434,966792,170,5203917,1086835,280,271165,734810,727185,10652833,
1,11723776,791545,968003,161,5181786,1112694,270,267368,722888,726935,11144428,
1,15151376,750248,967884,231,5103199,1084801,260,267899,734639,743195,10741447,
1,11627799,747012,966702,261,5191263,1109578,371,256448,728046,728608,10667059,
1,11407216,753333,967252,220,5198317,1080433,270,262299,733948,767040,10634306,
1,11513635,737385,967303,230,5204319,1090993,371,272377,735882,724620,10665114,
1,15392344,768522,967493,161,5206622,1111701,270,259473,739047,743405,10666428,
1,11631374,748135,967473,190,5184942,1109959,340,261277,732556,778150,10474289,
