ObjectFound,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,,Total,Max,MaxName,Contribution,,FPS(Tracking),Biggest Delay (Tracking),Contribution,Time
1,1707032,1232477,1110260,90,5164566,1657119,250,268811,739098,388624,10670769,,22939096,10670769,TimeWaitKey,46.52%,,43.593696979166,TimeWaitKey,46.52%,10.670769
1,897322,1220615,988192,70,5403853,1344276,211,251429,745149,754156,10664688,,22269961,10664688,TimeWaitKey,47.89%,,44.9035362028699,TimeWaitKey,47.89%,10.664688
1,977853,1211699,1443010,80,5136474,1386033,221,260525,742925,739248,10950700,,22848768,10950700,TimeWaitKey,47.93%,,43.7660358755448,TimeWaitKey,47.93%,10.9507
1,936896,1254508,968004,70,5207726,1355857,361,311560,789792,738136,10654578,,22217488,10654578,TimeWaitKey,47.96%,,45.0095888428071,TimeWaitKey,47.96%,10.654578
1,7425050,1395041,983403,70,5153445,1348643,231,248453,788108,738276,10356924,,28437644,10356924,TimeWaitKey,36.42%,,35.1646571002858,TimeWaitKey,36.42%,10.356924
1,42977545,1237036,971861,361,5173372,1324199,231,273058,790002,745820,10151561,,63645046,42977545,WebcamRead,67.53%,,15.7121419945238,WebcamRead,67.53%,42.977545
1,47283292,1226035,975869,80,5336086,1360737,441,267138,792698,742193,10580370,,68564939,47283292,WebcamRead,68.96%,,14.5847136245538,WebcamRead,68.96%,47.283292
1,46711213,1212981,971811,170,5176408,1345548,230,272508,767601,762441,10320396,,67541307,46711213,WebcamRead,69.16%,,14.8057543511854,WebcamRead,69.16%,46.711213
1,43374386,1210026,975078,80,6465070,1336271,321,261717,760597,722697,10801613,,65907856,43374386,WebcamRead,65.81%,,15.1726980771458,WebcamRead,65.81%,43.374386
1,45535703,743616,963706,80,5152133,1331001,120,278268,751811,745289,10561516,,66063243,45535703,WebcamRead,68.93%,,15.1370104552694,WebcamRead,68.93%,45.535703
1,46847938,718379,963947,81,5147243,1297949,220,300801,749207,728237,10617570,,67371572,46847938,WebcamRead,69.54%,,14.8430557624513,WebcamRead,69.54%,46.847938
1,43456509,728257,964759,161,5156080,1310953,210,250056,731013,730732,10631426,,63960156,43456509,WebcamRead,67.94%,,15.6347335988361,WebcamRead,67.94%,43.456509
1,47992472,705515,965049,171,5123499,1320832,121,251850,741772,736143,10591361,,68428785,47992472,WebcamRead,70.13%,,14.6137330949249,WebcamRead,70.13%,47.992472
0,46953046,728237,964617,70,5173072,951303,340,215913,742944,720312,10603293,,67053147,46953046,WebcamRead,70.02%,,,,70.02%,
1,44184334,782809,963015,80,5182429,1290185,121,270404,734138,725512,10612410,,64745437,44184334,WebcamRead,68.24%,,15.4451038765867,WebcamRead,68.24%,44.184334
0,47500836,822123,964799,80,5222785,957515,231,211824,721676,788399,10898784,,68089052,47500836,WebcamRead,69.76%,,,,69.76%,
0,46782659,716005,966592,80,5142746,927859,320,220401,725332,706226,10580040,,66768260,46782659,WebcamRead,70.07%,,,,70.07%,
